Formula, something, somethingelse,Formula_mono_iso_wt_nat
C9H10N2,12,14,146.0843983
C9H10N2,13,14,155.1145919
C9H10N2,12,15,148.0784681
C9H10N2,13,15,157.1086617
C7H7N3,12,14,133.0639972
C7H7N3,13,14,140.0874811
C7H7N3,12,15,136.0551019
C7H7N3,13,15,143.0785858
C4H13NO7P2,12,14,249.0167248
C4H13NO7P2,13,14,253.0301441
C4H13NO7P2,12,15,250.0137597
C4H13NO7P2,13,15,254.027179
C23H28O10,12,14,464.1682471
C23H28O10,13,14,487.2454084
C23H28O10,12,15,464.1682471
C23H28O10,13,15,487.2454084
C26H25N2NaO6S,12,14,516.1331019
C26H25N2NaO6S,13,14,542.2203277
C26H25N2NaO6S,12,15,518.1271717
C26H25N2NaO6S,13,15,544.2143975
C23H28O11,12,14,480.1631617
C23H28O11,13,14,503.240323
C23H28O11,12,15,480.1631617
C23H28O11,13,15,503.240323
C31H54N7O17P3S,12,14,921.2509736
C31H54N7O17P3S,13,14,952.3549735
C31H54N7O17P3S,12,15,928.2302178
C31H54N7O17P3S,13,15,959.3342178
C16H20O2,12,14,244.1463299
C16H20O2,13,14,260.2000073
C16H20O2,12,15,244.1463299
C16H20O2,13,15,260.2000073
C26H38N7O19P3S,12,14,877.1156023
C26H38N7O19P3S,13,14,903.2028281
C26H38N7O19P3S,12,15,884.0948465
C26H38N7O19P3S,13,15,910.1820723
C16H20O3,12,14,260.1412445
C16H20O3,13,14,276.1949219
C16H20O3,12,15,260.1412445
C16H20O3,13,15,276.1949219
C16H20O4,12,14,276.1361591
C16H20O4,13,14,292.1898365
C16H20O4,12,15,276.1361591
C16H20O4,13,15,292.1898365
C72H101CoN18O17P+,12,14,1579.665622
C72H101CoN18O17P+,13,14,1651.90717
C72H101CoN18O17P+,12,15,1597.61225
C72H101CoN18O17P+,13,15,1669.853798
C16H20O6,12,14,308.1259884
C16H20O6,13,14,324.1796658
C16H20O6,12,15,308.1259884
C16H20O6,13,15,324.1796658
C10H14N2O,12,14,178.1106131
C10H14N2O,13,14,188.1441615
C10H14N2O,12,15,180.1046829
C10H14N2O,13,15,190.1382312
C24H40N7O18P3S,12,14,839.1363377
C24H40N7O18P3S,13,14,863.2168538
C24H40N7O18P3S,12,15,846.115582
C24H40N7O18P3S,13,15,870.1960981
C16H20O9,12,14,356.1107322
C16H20O9,13,14,372.1644096
C16H20O9,12,15,356.1107322
C16H20O9,13,15,372.1644096
C62H90CoN13O15P-2,12,14,1346.575993
C62H90CoN13O15P-2,13,14,1408.783993
C62H90CoN13O15P-2,12,15,1359.537447
C62H90CoN13O15P-2,13,15,1421.745447
C32H42O7,12,14,538.2930537
C32H42O7,13,14,570.4004085
C32H42O7,12,15,538.2930537
C32H42O7,13,15,570.4004085
C32H42O8,12,14,554.2879683
C32H42O8,13,14,586.3953231
C32H42O8,12,15,554.2879683
C32H42O8,13,15,586.3953231
C92H130N28O24S4,12,14,2138.86956
C92H130N28O24S4,13,14,2231.178205
